title,dist_name,opening,budget,release_date,mpaa,running_time,genres,in_release_days,percentage_dom,gross_dom,num_theaters
Jurassic World,Universal Pictures,208806270.0,150000000.0,2015-06-12,PG-13,124.0,"Action,Adventure,Sci-Fi",210.0,39.0,652270625,4291.0
Star Wars: Episode VII - The Force Awakens,Walt Disney Studios Motion Pictures,247966675.0,245000000.0,2015-12-18,PG-13,138.0,"Action,Adventure,Sci-Fi",380.0,45.3,936662225,4134.0
Avengers: Age of Ultron,Walt Disney Studios Motion Pictures,191271109.0,250000000.0,2015-05-01,PG-13,141.0,"Action,Adventure,Sci-Fi",245.0,32.7,459005868,4276.0
Inside Out,Walt Disney Studios Motion Pictures,90440272.0,175000000.0,2015-06-19,PG,95.0,"Adventure,Animation,Comedy,Drama,Family,Fantasy",203.0,41.6,356461711,4158.0
Furious 7,Universal Pictures,147187040.0,190000000.0,2015-04-03,PG-13,137.0,"Action,Crime,Thriller",273.0,23.3,353007020,4022.0
American Sniper,Warner Bros.,633456.0,58800000.0,2014-12-25,R,133.0,"Action,Biography,Drama,War",372.0,64.0,350126372,3885.0
Minions,Universal Pictures,115718405.0,74000000.0,2015-07-10,PG,91.0,"Adventure,Animation,Comedy,Crime,Family,Sci-Fi",182.0,29.0,336045770,4311.0
The Hunger Games: Mockingjay - Part 2,Lionsgate,102665981.0,160000000.0,2015-11-20,PG-13,137.0,"Action,Adventure,Sci-Fi,Thriller",408.0,42.8,281723902,4175.0
The Martian,Twentieth Century Fox,54308575.0,108000000.0,2015-10-02,PG-13,144.0,"Adventure,Drama,Sci-Fi",457.0,36.2,228433663,3854.0
Cinderella,Walt Disney Studios Motion Pictures,67877361.0,95000000.0,2015-03-13,PG,105.0,"Adventure,Drama,Family,Fantasy,Romance",294.0,37.1,201151353,3848.0
Spectre,Sony Pictures Entertainment (SPE),70403148.0,245000000.0,2015-11-06,PG-13,148.0,"Action,Adventure,Thriller",422.0,22.7,200074609,3929.0
Mission: Impossible - Rogue Nation,Paramount Pictures,55520089.0,150000000.0,2015-07-31,PG-13,131.0,"Action,Adventure,Thriller",154.0,28.6,195042377,3988.0
Pitch Perfect 2,Universal Pictures,69216890.0,29000000.0,2015-05-15,PG-13,115.0,"Comedy,Music",231.0,64.2,184296230,3660.0
Ant-Man,Walt Disney Studios Motion Pictures,57225526.0,130000000.0,2015-07-17,PG-13,117.0,"Action,Adventure,Comedy,Sci-Fi",175.0,34.7,180202163,3868.0
Home,Twentieth Century Fox,52107731.0,135000000.0,2015-03-27,PG,94.0,"Adventure,Animation,Comedy,Family,Fantasy,Sci-Fi",280.0,46.0,177397510,3801.0
Hotel Transylvania 2,Sony Pictures Entertainment (SPE),48464322.0,80000000.0,2015-09-25,PG,89.0,"Adventure,Animation,Comedy,Family,Fantasy,Horror",464.0,35.7,169700110,3768.0
Fifty Shades of Grey,Universal Pictures,85171450.0,40000000.0,2015-02-13,R,125.0,"Drama,Romance,Thriller",322.0,29.2,166167230,3655.0
The SpongeBob Movie: Sponge Out of Water,Paramount Pictures,55365012.0,74000000.0,2015-02-06,PG,92.0,"Adventure,Animation,Comedy,Family,Fantasy",329.0,50.1,162994032,3680.0
Straight Outta Compton,Universal Pictures,60200180.0,28000000.0,2015-08-14,R,147.0,"Biography,Drama,History,Music",140.0,79.9,161197785,3142.0
San Andreas,Warner Bros.,54588173.0,110000000.0,2015-05-29,PG-13,114.0,"Action,Adventure,Thriller",217.0,32.7,155190832,3812.0
Mad Max: Fury Road,Warner Bros.,45428128.0,150000000.0,2015-05-15,R,,"Action,Adventure,Sci-Fi,Thriller",231.0,41.0,153636354,3722.0
